SrNO,first name,last name,age,product,price,q,total,city,date
1,Veronica,Teller,43,handfree,150,9,1350,hydrabad,9/7/2023
2,Stephen,Johnson,44,RGB Fan,120000,8,960000,Ahmedabad,16/8/2023
3,Tammy,Fossey,35,phone,150000,5,750000,delhi,6/8/2023
4,Cheryl,Chandler,14,phone,150000,8,1200000,pune,16/3/2023
5,Carmen,Stefani,18,processor,90000,8,720000,pune,7/6/2023
6,James,Anderson,27,processor,90000,2,180000,pune,4/1/2023
7,Garland,Meunier,44,charger,20000,5,100000,hydrabad,27/9/2023
8,Connie,Poole,17,processor,90000,9,810000,mumbai,2/6/2023
9,Chris,Perry,37,charger,20000,4,80000,Ahmedabad,21/10/2023
10,Kathleen,Flores,12,laptop,50000,8,400000,pune,13/2/2023
11,William,Flynn,42,RGB Fan,120000,2,240000,delhi,10/5/2023
12,Marine,Smith,35,processor,90000,9,810000,delhi,19/7/2023
13,Lucas,Baker,32,phone,150000,4,600000,pune,8/3/2023
14,Joesph,Taylor,14,phone,150000,6,900000,hydrabad,16/9/2023
15,Donna,Mallen,18,charger,20000,3,60000,Ahmedabad,22/3/2023
16,Rhonda,Durbin,35,handfree,150,10,1500,Ahmedabad,30/3/2023
17,Charles,Davis,25,phone,150000,4,600000,hydrabad,1/9/2023
18,Jim,Weathers,37,handfree,150,3,450,Ahmedabad,6/2/2023
19,Jim,Cerda,26,laptop,50000,4,200000,hydrabad,27/4/2023
20,Carl,Thomson,43,processor,90000,9,810000,mumbai,14/8/2023
21,William,Coffey,22,processor,90000,4,360000,hydrabad,11/11/2023
22,Lisa,Bray,28,phone,150000,1,150000,mumbai,1/1/2023
23,Leon,Fuller,16,laptop,50000,4,200000,delhi,12/6/2023
24,Marcelino,Taylor,25,handfree,150,3,450,delhi,8/11/2023
25,Cindy,Merrill,37,handfree,150,9,1350,pune,31/2/2023
26,Lakendra,Brooks,34,charger,20000,6,120000,Ahmedabad,23/8/2023
27,Charles,Wells,16,processor,90000,10,900000,delhi,29/11/2023
28,James,Shebby,14,phone,150000,8,1200000,delhi,9/9/2023
29,Kathryn,Porter,14,laptop,50000,9,450000,hydrabad,10/5/2023
30,Allen,Mccall,24,handfree,150,1,150,Ahmedabad,24/11/2023
31,Riley,Collins,33,processor,90000,1,90000,pune,21/1/2023
32,Cassie,Lejeune,19,charger,20000,2,40000,hydrabad,13/4/2023
33,Ellen,Gibbs,23,phone,150000,2,300000,delhi,15/1/2023
34,Arthur,Watkins,20,phone,150000,3,450000,delhi,11/7/2023
35,Chad,Hughes,41,laptop,50000,4,200000,Ahmedabad,8/6/2023
36,Rosalee,Bihm,37,charger,20000,3,60000,pune,13/1/2023
37,Jo,Flores,21,laptop,50000,3,150000,Ahmedabad,30/9/2023
38,Hazel,Vangilder,28,phone,150000,5,750000,hydrabad,31/3/2023
39,John,Smith,39,phone,150000,2,300000,delhi,23/9/2023
40,Matthew,Fowlie,22,RGB Fan,120000,2,240000,Ahmedabad,28/8/2023
41,Cameron,Rhodes,43,RGB Fan,120000,5,600000,mumbai,8/6/2023
42,Charles,Knapp,36,handfree,150,10,1500,delhi,5/2/2023
43,Derrick,Olson,35,phone,150000,1,150000,mumbai,29/9/2023
44,Mary,Altamirano,15,RGB Fan,120000,4,480000,delhi,25/7/2023
45,Mary,Phelps,29,laptop,50000,9,450000,mumbai,15/6/2023
46,Beverly,Bonilla,30,handfree,150,4,600,hydrabad,15/5/2023
47,Frank,Schreiner,18,RGB Fan,120000,1,120000,mumbai,17/7/2023
48,Lisa,Allen,28,laptop,50000,5,250000,pune,11/5/2023
49,Matthew,Dixon,26,RGB Fan,120000,5,600000,pune,31/1/2023
50,Victor,Robles,45,phone,150000,4,600000,mumbai,5/2/2023
51,Freddie,Carey,30,handfree,150,5,750,Ahmedabad,18/8/2023
52,David,Oakes,23,RGB Fan,120000,9,1080000,pune,24/10/2023
53,Shannon,Rogowski,29,handfree,150,7,1050,delhi,20/8/2023
54,Sonya,Effinger,39,processor,90000,8,720000,delhi,17/1/2023
55,Dianne,Williams,34,processor,90000,5,450000,Ahmedabad,8/9/2023
56,Barbara,Conner,20,charger,20000,1,20000,mumbai,4/11/2023
57,Annie,White,36,RGB Fan,120000,5,600000,delhi,15/3/2023
58,Jennifer,Dessert,23,phone,150000,3,450000,delhi,27/10/2023
59,Antonio,Archer,25,processor,90000,3,270000,pune,23/6/2023
60,Christine,Miller,35,phone,150000,2,300000,pune,24/8/2023
61,Carl,Robinson,21,handfree,150,9,1350,delhi,11/8/2023
62,Eddie,Pack,12,charger,20000,10,200000,hydrabad,29/9/2023
63,Shaniqua,Krois,27,laptop,50000,4,200000,pune,6/8/2023
64,Daniel,Googe,28,laptop,50000,1,50000,pune,30/9/2023
65,Charles,Wittke,22,RGB Fan,120000,1,120000,mumbai,17/9/2023
66,Mindy,Lewis,20,phone,150000,10,1500000,mumbai,23/9/2023
67,Mary,Whitefield,33,charger,20000,7,140000,pune,20/8/2023
68,Maria,Lopez,43,charger,20000,7,140000,mumbai,19/4/2023
69,Sandi,Reid,13,RGB Fan,120000,2,240000,delhi,26/11/2023
70,James,Barton,13,processor,90000,3,270000,delhi,20/4/2023
71,Sarah,Mathwich,40,phone,150000,10,1500000,Ahmedabad,14/4/2023
72,Aaron,Spencer,36,handfree,150,6,900,mumbai,1/8/2023
73,Aida,Peavy,22,charger,20000,9,180000,mumbai,12/7/2023
74,David,Crager,45,RGB Fan,120000,5,600000,pune,21/7/2023
75,Mario,Blanchette,37,charger,20000,7,140000,hydrabad,16/2/2023
76,George,Alfaro,27,phone,150000,2,300000,pune,15/4/2023
77,Donald,Williams,17,RGB Fan,120000,7,840000,delhi,17/1/2023
78,Lionel,Schaffner,41,laptop,50000,10,500000,pune,22/4/2023
79,Lee,Howard,42,phone,150000,9,1350000,Ahmedabad,9/2/2023
80,Ryan,Dawson,33,handfree,150,8,1200,pune,4/10/2023
81,Eric,Bergman,26,processor,90000,8,720000,Ahmedabad,28/9/2023
82,Crystal,Duprey,38,laptop,50000,6,300000,hydrabad,29/3/2023
